Symbol	Company Name	Industry	Market Cap			
AKO.B	Embotelladora Andina	Beverages-Non-Alcoholic	1.81B			
AKR	Acadia Realty Trust	Equity Real Estate Investment Trusts ...	1.43B			
AKRO	Akero Therapeutics	Biotechnology	1.90B			
AKTS	Akoustis Technologies	"Electronic Equipment, Instruments & C..."	206.34M			
AKTX	Akari Therapeutics	Pharmaceuticals	32.64M			
AKU	Akumin	Diagnostics & Research	128.01M			
AKUS	Akouos	Biotechnology	494.48M			
AKYA	Akoya Biosciences	Medical Instruments & Supplies	504.43M			
AL	Air Lease	Trading Companies & Distributors	4.18B			
ALB	Albemarle	Chemicals	38.12B			
ALBO	Albireo Pharma	Biotechnology	441.14M			
ALBT	Avalon GloboCare	Health Care Providers & Services	41.80M			
ALC	Alcon	Medical Instruments & Supplies	32.39B			
ALCC	AltC Acquisition	Blank Check / SPAC	507.81M			
ALCO	Alico	Food Products	245.74M			
ALDX	Aldeyra Therapeutics	Biotechnology	338.86M			
ALE	ALLETE	Electric Utilities	3.47B			
ALEC	Alector	Biotechnology	718.68M			
ALEX	Alexander & Baldwin	Equity Real Estate Investment Trusts ...	1.47B			
ALG	Alamo Group	Machinery	1.84B			
ALGM	Allegro MicroSystems	Semiconductors & Semiconductor Equipment	5.46B			
ALGN	Align Technology	Health Care Equipment & Supplies	17.11B			
ALGS	Aligos Therapeutics	Biotechnology	42.90M			
ALGT	Allegiant Travel Company	Airlines	1.48B			
ALHC	Alignment Healthcare	Health Care Providers & Services	2.47B			
ALIM	Alimera Sciences	Pharmaceuticals	34.84M			
ALIT	Alight	Software-Application	4.57B			
ALK	Alaska Air Group	Airlines	5.99B			
ALKS	Alkermes	Biotechnology	3.88B			
ALKT	Alkami Technology	Software-Application	1.28B			
ALL	The Allstate Corporation	Insurance	35.49B			
ALLE	Allegion	Building Products	9.98B			
ALLG	Allego	Auto Parts	776.26M			
ALLK	Allakos	Biotechnology	622.74M			
ALLO	Allogene Therapeutics	Biotechnology	1.44B			
ALLR	Allarity Therapeutics	Biotechnology	5.75M			
ALLT	Allot	Software	165.29M			
ALLY	Ally Financial	Consumer Finance	8.81B			
ALNY	Alnylam Pharmaceuticals	Biotechnology	26.62B			
ALOR	ALSP Orchid Acquisition I	Blank Check / SPAC	184.28M			
ALOT	AstroNova	"Technology Hardware, Storage & Periph..."	87.87M			
ALPA	Alpha Healthcare Acquisition III	Blank Check / SPAC	156.22M			
ALPN	Alpine Immune Sciences	Biotechnology	253.92M			
ALPP	Alpine 4 Holdings	Conglomerates	142.59M			
ALPS	Alpine Summit Energy Partners	Oil & Gas E&P	182.19M			
ALR	AlerisLife	Medical Care Facilities	25.95M			
ALRM	Alarm.com Holdings	Software	2.84B			
ALRN	Aileron Therapeutics	Biotechnology	302.44M			
ALRS	Alerus Financial	Diversified Financial Services	464.70M			
ALSA	Alpha Star Acquisition	Blank Check / SPAC	149.55M			
ALSN	Allison Transmission Holdings	Machinery	3.96B			
ALT	Altimmune	Biotechnology	524.08M			
ALTG	Alta Equipment Group	Trading Companies & Distributors	419.60M			
ALTO	Alto Ingredients	"Oil, Gas & Consumable Fuels"	277.44M			
ALTR	Altair Engineering	Software	2.56B			
ALTU	Altitude Acquisition	Blank Check / SPAC	50.07M			
ALV	Autoliv	Auto Components	7.69B			
ALVO	Alvotech	Drug Manufacturers-Specialty & Generic	1.54B			
ALVR	AlloVir	Biotechnology	792.82M			
ALX	Alexander's	Equity Real Estate Investment Trusts ...	1.22B			
ALXO	ALX Oncology Holdings	Biotechnology	521.16M			
ALYA	Alithya Group	IT Services	158.59M			
ALZN	Alzamend Neuro	Biotechnology	101.21M			
AM	Antero Midstream	"Oil, Gas & Consumable Fuels"	5.35B			
AMAL	Amalgamated Financial	Banks	738.90M			
AMAM	Ambrx Biopharma	Biotechnology	27.82M			
AMAO	American Acquisition Opportunity	Blank Check / SPAC	7.45M			
AMAT	Applied Materials	Semiconductors & Semiconductor Equipment	95.09B			
AMBA	Ambarella	Semiconductors & Semiconductor Equipment	2.46B			
AMBC	Ambac Financial Group	Insurance	670.85M			
AMBO	Ambow Education Holding	Diversified Consumer Services	7.54M			
AMBP	Ardagh Metal Packaging	Packaging & Containers	2.85B			
AMC	AMC Entertainment Holdings	Entertainment	3.70B			
AMCI	AMCI Acquisition II	Blank Check / SPAC	147.30M			
AMCR	Amcor	Containers & Packaging	17.33B			
AMCX	AMC Networks	Media	683.45M			
AMD	Advanced Micro Devices	Semiconductors & Semiconductor Equipment	116.88B			
AME	AMETEK	Electrical Equipment	31.89B			
AMED	Amedisys	Health Care Providers & Services	2.98B			
AMEH	Apollo Medical Holdings	Health Care Providers & Services	1.67B			
AMG	Affiliated Managers Group	Capital Markets	5.80B			
AMGN	Amgen	Biotechnology	152.08B			
AMH	American Homes 4 Rent	Equity Real Estate Investment Trusts ...	11.31B			
AMK	AssetMark Financial Holdings	Capital Markets	1.74B			
AMKR	Amkor Technology	Semiconductors & Semiconductor Equipment	6.18B			
AMLX	Amylyx Pharmaceuticals	Biotechnology	1.99B			
AMN	AMN Healthcare Services	Health Care Providers & Services	4.89B			
AMNB	American National Bankshares	Banks	397.37M			
AMOT	Allied Motion Technologies	Electrical Equipment	583.47M			
AMOV	America Movil	Wireless Telecommunication Services	62.90B			
AMP	Ameriprise Financial	Capital Markets	35.24B			
AMPG	AmpliTech Group	Communication Equipment	24.37M			
AMPH	Amphastar Pharmaceuticals	Pharmaceuticals	1.37B			
AMPI	Advanced Merger Partners	Shell Companies	288.36M			
AMPL	Amplitude	Software-Application	1.11B			
AMPS	Altus Power	Utilities-Renewable	1.44B			
AMPX	Amprius Technologies	Electrical Equipment & Parts	1.20B			
AMPY	Amplify Energy	Oil & Gas E&P	337.53M			
AMR	Alpha Metallurgical Resources	"Oil, Gas & Consumable Fuels"	2.45B			
AMRC	Ameresco	Construction & Engineering	2.07B			
AMRK	A-Mark Precious Metals	Diversified Financial Services	778.18M			
AMRN	Amarin	Biotechnology	541.13M			
AMRS	Amyris	Chemicals	718.67M			
AMRX	Amneal Pharmaceuticals	Pharmaceuticals	372.63M			
AMS	American Shared Hospital Services	Health Care Providers & Services	17.91M			
AMSC	American Superconductor	Electrical Equipment	120.47M			
AMSF	AMERISAFE	Insurance	1.06B			
AMST	Amesite	Software-Application	7.45M			
AMSWA	American Software	Software	546.98M			
AMT	American Tower	Equity Real Estate Investment Trusts ...	103.95B			
AMTB	Amerant Bancorp	Banks	1.01B			
AMTD	AMTD International	Asset Management	145.52M			
AMTI	Applied Molecular Transport	Biotechnology	40.89M			
AMTX	Aemetis	"Oil, Gas & Consumable Fuels"	229.64M			
AMV	Atlis Motor Vehicles	Auto Parts	81.85M			
AMWD	American Woodmark	Building Products	879.13M			
AMWL	American Well	Health Information Services	1.01B			
AMX	America Movil	Wireless Telecommunication Services	63.85B			
AMYT	Amryt Pharma	Drug Manufacturers-Specialty & Generic	466.35M			
AMZN	Amazon.com	Internet & Direct Marketing Retail	"1,028.23B"			
AN	AutoNation	Specialty Retail	5.98B			
ANAB	AnaptysBio	Biotechnology	880.53M			
ANAC	Arctos NorthStar Acquisition	Blank Check / SPAC	316.25M			
ANDE	The Andersons	Food & Staples Retailing	1.25B			
ANEB	Anebulo Pharmaceuticals	Biotechnology	69.98M			
ANET	Arista Networks	Communications Equipment	39.50B			
ANF	Abercrombie & Fitch Company	Specialty Retail	938.13M			
ANGH	Anghami	Entertainment	74.12M			
ANGI	Angi Inc.	Interactive Media & Services	196.67M			
ANGN	Angion Biomedica	Biotechnology	29.17M			
ANGO	AngioDynamics	Health Care Equipment & Supplies	536.95M			
ANIK	Anika Therapeutics	Biotechnology	453.62M			
ANIP	ANI Pharmaceuticals	Pharmaceuticals	656.26M			
ANIX	Anixa Biosciences	Biotechnology	153.92M			
ANNX	Annexon	Biotechnology	281.02M			
ANPC	AnPac Bio-Medical Science Co.	Biotechnology	8.21M			
ANSS	ANSYS	Software	22.28B			
ANTE	AirNet Technology	Media	22.49M			
ANTX	AN2 Therapeutics	Biotechnology	288.52M			
ANVS	Annovis Bio	Biotechnology	101.15M			
ANY	Sphere 3D	Software	27.60M			
ANZU	Anzu Special Acquisition I	Blank Check / SPAC	422.87M			
AOGO	Arogo Capital Acquisition	Blank Check / SPAC	108.31M			
AOMR	Angel Oak Mortgage	REIT-Mortgage	242.03M			
AON	Aon plc	Insurance	60.61B			
AORT	Artivion	Medical Devices	491.62M			
AOS	A. O. Smith	Building Products	7.61B			
AOSL	Alpha & Omega Semiconductor	Semiconductors & Semiconductor Equipment	1.01B			
AOUT	American Outdoor Brands	Leisure Products	116.53M			
AP	Ampco-Pittsburgh	Metals & Mining	65.20M			
APA	APA Corporation	"Oil, Gas & Consumable Fuels"	15.68B			
APAC	Stonebridge Acquisition	Blank Check / SPAC	203.00M			
APAM	Artisan Partners Asset Management	Capital Markets	2.35B			
APCA	AP Acquisition	Blank Check / SPAC	176.30M			
APCX	AppTech Payments	Software-Infrastructure	12.67M			
APD	Air Products & Chemicals	Chemicals	63.98B			
APDN	Applied DNA Sciences	"Electronic Equipment, Instruments & C..."	21.77M			
APEI	American Public Education	Diversified Consumer Services	245.03M			
APEN	Apollo Endosurgery	Health Care Equipment & Supplies	277.28M			
APG	APi Group	Construction & Engineering	4.44B			
APGB	Apollo Strategic Growth Capital II	Shell Companies	688.07M			
APGN	Apexigen	Biotechnology	51.05M			
APH	Amphenol	"Electronic Equipment, Instruments & C..."	47.20B			
API	Agora	"Electronic Equipment, Instruments & C..."	425.35M			
APLD	Applied Blockchain	Machinery	220.52M			
APLE	Apple Hospitality REIT	Equity Real Estate Investment Trusts ...	3.77B			
APLS	Apellis Pharmaceuticals	Biotechnology	4.99B			
APLT	Applied Therapeutics	Biotechnology	41.13M			
APM	Aptorum Group	Biotechnology	8.69M			
APMI	AxonPrime Infrastructure Acquisition	Blank Check / SPAC	147.15M			
APN	Apeiron Capital Investment	Shell Companies	174.92M			
APO	Apollo Global Management	Capital Markets	39.13B			
APOG	Apogee Enterprises	Building Products	1.06B			
APP	AppLovin	Software-Application	4.95B			
APPF	AppFolio	Software	2.45B			
APPH	AppHarvest	Food Products	165.09M			
APPN	Appian	Software	1.64B			
APPS	Digital Turbine	Software	1.90B			
APRE	Aprea Therapeutics	Biotechnology	10.69M			
